iter	Passed	Remaining
421	2241	3069
422	2243	3060
423	2247	3052
424	2251	3046
425	2256	3039
426	2266	3041
427	2270	3034
428	2274	3027
429	2278	3020
430	2282	3013
431	2286	3005
432	2289	2998
433	2293	2991
434	2311	3001
435	2314	2994
436	2319	2987
437	2322	2980
438	2326	2973
439	2330	2965
440	2334	2958
441	2336	2949
442	2339	2941
443	2343	2934
444	2347	2928
445	2352	2921
446	2356	2914
447	2360	2908
448	2364	2901
449	2368	2895
450	2372	2888
451	2376	2881
452	2379	2873
453	2383	2866
454	2401	2876
455	2405	2870
456	2421	2877
457	2426	2871
458	2432	2866
459	2437	2861
460	2440	2853
461	2446	2848
462	2451	2843
463	2455	2837
464	2458	2828
465	2463	2822
466	2467	2816
467	2472	2811
468	2492	2822
469	2497	2816
470	2502	2810
471	2507	2804
472	2512	2799
473	2518	2794
474	2523	2788
475	2527	2782
476	2532	2776
477	2536	2770
478	2541	2763
479	2544	2756
480	2550	2751
481	2554	2745
482	2558	2738
483	2563	2732
484	2567	2726
485	2571	2719
486	2576	2713
487	2580	2707
488	2584	2701
489	2588	2694
490	2593	2688
491	2597	2682
492	2601	2675
493	2605	2668
494	2609	2662
495	2614	2656
496	2618	2649
497	2622	2643
498	2627	2637
499	2643	2643
500	2645	2635
501	2649	2628
502	2660	2628
503	2663	2621
504	2667	2614
505	2671	2608
506	2675	2601
507	2679	2595
508	2683	2588
509	2687	2582
510	2692	2576
511	2694	2568
512	2698	2561
513	2702	2555
514	2706	2548
515	2710	2542
516	2714	2536
517	2719	2530
518	2723	2524
519	2727	2517
520	2731	2511
521	2737	2506
522	2750	2508
523	2755	2503
524	2760	2497
525	2764	2491
526	2769	2485
527	2774	2480
528	2777	2473
529	2782	2467
530	2786	2461
531	2791	2455
532	2795	2449
533	2799	2443
534	2804	2437
535	2808	2431
536	2812	2424
537	2816	2418
538	2821	2412
539	2825	2406
540	2827	2399
541	2832	2393
542	2837	2387
543	2841	2381
544	2845	2375
545	2849	2369
546	2871	2377
547	2875	2371
548	2879	2365
549	2884	2359
550	2888	2353
551	2892	2347
552	2896	2341
553	2901	2335
554	2905	2329
555	2909	2323
556	2913	2317
557	2917	2311
558	2922	2305
559	2925	2298
560	2930	2292
561	2935	2287
562	2947	2287
563	2961	2289
564	2966	2283
565	2970	2277
566	2974	2271
567	2979	2265
568	2983	2260
569	2988	2254
570	2993	2248
571	2996	2241
572	3000	2235
573	3004	2229
574	3009	2224
575	3022	2224
576	3029	2220
577	3035	2215
578	3040	2210
579	3045	2205
580	3050	2199
581	3055	2194
582	3060	2188
583	3065	2183
584	3069	2177
585	3073	2171
586	3078	2166
587	3083	2160
588	3087	2154
589	3098	2153
590	3103	2147
591	3108	2142
592	3113	2136
593	3118	2131
594	3121	2124
595	3124	2117
596	3128	2112
597	3134	2106
598	3139	2101
599	3145	2096
600	3150	2091
601	3153	2084
602	3155	2077
603	3160	2072
604	3165	2066
605	3170	2061
606	3175	2055
607	3180	2050
608	3185	2045
609	3190	2040
610	3195	2034
611	3200	2028
612	3205	2023
613	3211	2019
614	3216	2013
615	3222	2008
616	3226	2002
617	3234	1999
618	3240	1994
619	3245	1989
620	3250	1983
621	3255	1978
622	3258	1972
623	3261	1965
624	3266	1959
625	3271	1954
626	3275	1948
627	3280	1943
628	3285	1937
629	3290	1932
630	3295	1926
631	3311	1928
632	3315	1921
633	3319	1916
634	3322	1909
635	3327	1904
636	3333	1899
637	3338	1894
638	3342	1888
639	3346	1882
640	3352	1877
641	3356	1871
642	3359	1865
643	3364	1860
644	3369	1854
645	3373	1848
646	3378	1843
647	3383	1837
648	3388	1832
649	3392	1826
650	3396	1820
651	3400	1815
652	3405	1809
653	3410	1804
654	3415	1798
655	3419	1793
656	3423	1787
657	3428	1781
658	3433	1776
659	3437	1770
